Location,Site Description,Latitude,Longitude,MAT,MAP,ANPP,Biomass Increment,Litterfall,Foliar N,Foliar P,k,Soil Respiration,Soil N,Inorganic N,Soil P,Elevation,Soil Type,References
India,Agumbe,13.3,75.1,22.6,7670,15.3,11.1,4.2,,,,,,,,575,Inceptisol,Rai & Proctor (1986a); Rai & Proctor (1986b)
India,TV2,13.4,75.3,22,6400,20.9,,11.6,,,,,,,,1050,Inceptisol,Swamy & Proctor (1994a); Swamy & Proctor (1994b)
India,BV2,13.5,75.3,22,6400,24.2,,13.3,,,,,,,,1450,Inceptisol,Swamy & Proctor (1994a); Swamy & Proctor (1994b)
India,BS,13.4,75.2,22,1900,21.7,,12,,,,,,,,1450,Inceptisol,Swamy & Proctor (1994a); Swamy & Proctor (1994b)
Jamaica,"John Crow Ridge, Mor Ridge",18.4,-76.4,15.5,2200,8.5,1.9,6.6,10.5,0.5,,,,,,1615,,Tanner et al. (1977); Tanner et al. (1990); Tanner et al. (1998)
Jamaica,"John Crow Ridge, Wet slope",18.4,-76.4,15.5,2200,7.3,1.7,5.6,12.7,0.8,,,,,,1570,,Tanner et al. (1977); Tanner et al. (1990); Tanner et al. (1998)
Jamaica,"John Crow Ridge, Mull Ridge",18.4,-76.4,15.5,2200,7.2,1.7,5.5,16.1,0.7,,,,,,1610,,Tanner et al. (1977); Tanner et al. (1990); Tanner et al. (1998)
Jamaica,"John Crow Ridge, Gap forest",18.4,-76.4,15.5,2200,11,,6.5,17.6,1,,,,,,1590,,Tanner et al. (1977); Tanner et al. (1990); Tanner et al. (1998)
Malaysia,Alluvial,6,116,25,5100,20.7,,11.5,,,1.7,7.8,0.54,,270,50,,Anderson et al. (1983); Proctor et al. (1983a); Proctor et al. (1983b); Newbery & Proctor (1984)
Malaysia,Dipterocarp,6,116,24.3,5100,15.5,,8.8,,,1.3,10.1,0.51,,120,225,,Anderson et al. (1983); Proctor et al. (1983a); Proctor et al. (1983b); Newbery & Proctor (1984)
Malaysia,Heath,6,116,24.4,5700,16.3,,9.2,,,1.3,11.9,0.91,,280,170,,Anderson et al. (1983); Proctor et al. (1983a); Proctor et al. (1983b); Newbery & Proctor (1984)
Malaysia,Forest over limestone,6,116,23.8,5700,21.7,,12,,,1.5,9.2,,,560,300,,Anderson et al. (1983); Proctor et al. (1983a); Proctor et al. (1983b); Newbery & Proctor (1984)
Malaysia,Pasoh,3,102.3,27.9,2054,23.2,7,10.6,,,,,0.27,,290,80,Inceptisol,Adachi et al. (2005); Kira et al. (1998); Kosugi et al. (2008)
